Name;Affiliation;Country
Edmond Puca;"Service of Infectious Disease, University Hospital Center ""Mother Teresa"", Tirane"; Albania
Zoë Hyde;Western Australian Centre for Health and Ageing, University of Western Australia; Australia
Judith Aberle;Center for Virology, Medical University of Vienna, Vienna; Austria
Eva Schernhammer;Department of Epidemiology, Center for Public Health, Medical University of Vienna, Vienna; Austria
Marjan Slak Rupnik;Center for physiology and pharmacology, Vienna; Austria
Ulrich Berger;Economics, WU Vienna, Vienna; Austria
Monika Redlberger-Fritz;Center for Virology , Medical University Vienna, Vienna; Austria
Elisabeth Puchhammer-Stöckl;Center of Virology, Medical University Vienna; Austria
Jesús Crespo Cuaresma;Vienna University of Economics and Business, Vienna; Austria
Katharina T. Paul;Department of Political Science, University of Vienna, Vienna; Austria
Klaus Markstaller;Department of Anaesthesia, Intensive Care Medicine and Pain Medicine, Medical University of Vienna, Vienna; Austria
Martin Kocher;Institute for Advanced Studies of Vienna, Vienna; Austria
Peter Klimek;Medical University of Vienna and Complexity Science Hub Vienna, Vienna; Austria
Katharina Kieslich;Department of Political Science, University of Vienna, Vienna; Austria
Krishnendu Chatterjee;IST; Austria
Daniela Schmid;Agency for Health and Food Safety, Institute for Infectious Disease Epidemiology, Vienna; Austria
Federico Battiston;Department of Network and Data Science, Central European University, Vienna; Austria
Nikolas Popper;Centre for Computational Complex Systems, Technical University of Vienna, Vienna; Austria
Lisa Seekircher;Medical University of Innsbruck, Innsbruck ; Austria
Thomas Szekeres;Department of Laboratory diagnostics, Clinical Institute for Laboratory diagnostics, Vienna; Austria
Stefan Thurner;Medical University of Vienna and Complexity Science Hub Vienna; Austria
Wolfgang Weninger;Dermatology, Medical University of Vienna, Vienna; Austria
Oswald Wagner;Department of Laboratory Medicine, Medical University of Vienna, Vienna; Austria
Lena Tschiderer;Medical University of Innsbruck, Innsbruck; Austria
Peter Willeit;Clinical Epidemiology Team, Medical University of Innsbruck, Innsbruck; Austria
Daniel Gros;Centre for European Policy Studies (CEPS), Brussels; Belgium
Geert Molenberghs;Hasselt University, Hasselt & KU Leuven, Leuven; Belgium
Herman Goossens;University of Antwerp; Belgium
Marius Gilbert;FNRS research Director, Université Libre de Bruxelles, Brussels; Belgium
Omer Van den Bergh;University of Leuven - KU Leuven, Leuven; Belgium
Nicolas Dauby;CHU Saint-Pierre, Brussels; Belgium
Erika Vlieghe;Department of General Internal Medicine, Infectious and Tropical diseases, University Hospital Antwerp, University of Antwerp, Institute of Tropical Medicine, Antwerp; Belgium
Philippe Beutels;Centre for Health Economics Research & Modelling Infectious Diseases, University of Antwerp; Belgium
Mathias Dewatripont;Université libre de Bruxelles, Brussels; Belgium
Niel Hens;Hasselt University, Hasselt & University of Antwerp, Antwerp; Belgium
Emmanuel André;Department of Microbiology, Immunology and Transplantation, KU Leuven, Leuven; Belgium
Pierre Van Damme;University of Antwerp, Antwerp; Belgium
Maja Travar;Department of Clinical Microbiology, University Clinical Center of Republic of Srpska, Banja Luka; Bosnia and Herzegovina
Visnja Mrdjen;Department of Clinical Microbiology, University Clinical Center of Republic of Srpska, Banja Luka, Republic of Srpska; Bosnia and Herzegovina
