Field;English;German
1;This much is clear: Christmas and New Year’s festivities this year will be very different from what we are used to. But beyond the holidays, what is a sensible strategy for the coming months? This is a question that scientists in all of Europe and the world are contemplating about. We have been in exchange with experts of various fields, from virology to sociology, from epidemiology to economics, and we all come to the same conclusion: Such a high number of cases, as we currently have, is not sustainable in the long-term, neither for the healthcare system nor for the economy and society. Therefore, we demand, together with many other scientists in Europe, to rapidly lower the number of infections, and then stabilise them on a low level. We suggest aiming for a target of 10 new infections per million people per day. This target is reachable and allows for clear leeway up to a critical limit between 35 to 50. ;Soviel ist sicher: Wir werden in diesem Jahr ein sehr anderes Weihnachts- und Neujahrsfest erleben, als wir es gewohnt sind. Aber was ist über die Festtage hinaus eine sinnvolle Strategie für die kommenden Monate? Darüber machen sich Forscherinnen und Forscher in ganz Europa und der Welt Gedanken. Wir haben uns mit Experten verschiedener Fachgebiete ausgetauscht, von der Virologie bis zur Soziologe, von der Epidemiologie bis zur Wirtschaftswissenschaft, und wir kommen alle zum selben Schluss: So hohe Fallzahlen wie gegenwärtig können wir uns auf Dauer nicht leisten, weder im Gesundheitssystem noch in der Wirtschaft und der Gesellschaft. Deshalb fordern wir, gemeinsam mit vielen weiteren Wissenschaftlerinnen und Wissenschaftlern Europas, die Infektionszahlen zügig zu senken, und dann auf einem niedrigen Niveau zu stabilisieren. Wir schlagen vor, einen Richtwert von 10 Neuinfektionen je Hunderttausend Einwohner pro Woche als Ziel anzustreben. Dieser Richtwert ist erreichbar und erlaubt noch klare Spielräume bis zur kritischen Obergrenze von 35 bis 50. 
2;But this can only be sustainably accomplished if all of Europe is aiming for the same goal. The virus is taking advantage of our open borders. Without coordinated efforts, countries who have managed to lower the number of cases will repeatedly experience that the virus is reimported from neighbouring countries with a high number of cases. This European game of ping-pong has devastating consequences.;Das kann jedoch nur dann nachhaltig gelingen, wenn ganz Europa dasselbe Ziel verfolgt. Das Virus nutzt unsere offenen Grenzen aus. Ohne ein abgestimmtes Vorgehen werden Länder, die es geschafft haben, die Fallzahlen zu senken, immer wieder erleben, dass das Virus aus Nachbarstaaten mit hohen Fallzahlen eingeschleppt wird und zu vielen Neuinfektionen führt. Dieses europäische Ping-Pong-Spiel hat verheerende Folgen. 
3;Curbing the virus spread, therefore, requires European teamwork: Every country which gets the spread under control helps its neighbouring countries in keeping the number of cases low. Thus, we urge for setting such a goal together and to make it binding. How exactly one accomplishes this goal, countries and regions will know best themselves. ;Die Eindämmung des Virus ist also eine europäische Teamaufgabe: Jedes Land, das die Ausbreitung unter Kontrolle bringt, erleichtert es den Nachbarländern, die Fallzahlen niedrig zu halten. Deshalb plädieren wir dringend dafür, ein solches Ziel gemeinsam und verbindlich festzulegen. Wie genau man dieses Ziel erreicht, das wissen die Länder, die Regionen selbst am besten.
4;But also on a regional level, fighting the pandemic requires teamwork and consideration. Many people help with the curb by reducing contacts, following safety guidelines and being careful. Of course, a large contribution is from workers in the healthcare system. Doctors, nurses and auxiliary staff are tending to infected patients in hospitals and family practices every day. Regarding the fact that some people find the pandemic exaggerated or measures too extreme, or are even denying the existence of this virus: workers in the healthcare system - also the ones in laboratories and offices - have to deal with this day by day.;Aber auch auf regionaler Ebene fordert die Bekämpfung der Pandemie Zusammenarbeit und Rücksicht. Viele Menschen tragen zur Eindämmung bei, indem sie ihre Kontakte beschränken, die AHA+L Regeln einhalten und vorsichtig sind. Einen großen Beitrag leisten selbstverständlich die Menschen im Gesundheitssystem. Ärztinnen und Ärzte, Krankenpflegerinnen und -pfleger und Hilfspersonal kümmern sich jeden Tag in Krankenhäusern und Hausarztpraxen um infizierte Patienten. Dass manche Menschen die Pandemie für überschätzt und die Einschränkungen für übertrieben halten oder gar die Existenz dieses Virus leugnen – damit müssen die Beschäftigten im Gesundheitssystem, auch die in den Laboren und den Gesundheitsämtern, täglich zurechtkommen. 
5;To make it clearer, we want to compare it to football. No good team solely relies on the defenders and the goalkeeper to stop goals. The opponent has to be controlled on the whole field to prevent painful goals. This virus is an opponent that uses every gap in the defense and has to be taken very seriously. Therefore, our whole team has to be placed strategically and cleverly on the field. Everyone has to contribute to turning the tide. For this, we need clear rules which are understandable and most of all consistent - not only in Germany, but in the whole of Europe. Just like in football - there we also do not have different rules for different clubs or countries. ;Um es klarer zu machen, wollen wir es mit dem Fußball vergleichen. Keine gute Mannschaft überlässt es allein den Verteidigern und dem Torwart, Tore zu verhindern. Der Gegner muss auf dem ganzen Spielfeld kontrolliert werden, um schmerzhafte Gegentore zu verhindern. Dieses Virus ist ein sehr ernstzunehmender Gegner, der jede Verteidigungslücke nutzt. Von daher muss unser gesamtes Team auf dem Platz strategisch und klug aufgestellt sein. Jeder Einzelne muss dazu beitragen, das Spiel zu wenden. Dazu brauchen wir klare Regeln, die nachvollziehbar und vor allem einheitlich sind – nicht nur in Deutschland, sondern in ganz Europa. Wie beim Fußball eben, da hat ja auch nicht jeder Verein, jedes Land seine eigenen Regeln.
6;One of the best ways to sustainably strengthen our defense is the vaccine. Every day, safe and effective vaccines are coming a bit further into reach. The vaccine turns a third league team into a Champion’s league one. By now we know that there are going to be vaccines in the coming year - so it is worth it to fill the gaps in our current defense with all our might. And not only that: Until then, we have to take back the lead in this tough match.;Eines der besten Mittel, unsere Verteidigung nachhaltig zu stärken, ist die Impfung. Mit jedem Tag rücken sichere und effektive Impfstoffe ein Stückchen näher. Die Impfung macht aus einer drittklassigen Mannschaft eine auf Champions-League-Niveau. Wir wissen mittlerweile, dass es im kommenden Jahr Impfstoffe geben wird – es lohnt sich also, die aktuelle lückenhafte Verteidigung mit allen Kräften zu verbessern. Und nicht nur das: Bis dahin müssen wir wieder die Oberhand in diesem harten Match gewinnen.
7;To achieve this, we have to start with drastically reducing new infections. The benefits are clear as day: ;Um das zu erreichen, müssen zuerst die Neuinfektionen drastisch gesenkt werden. Die Vorteile liegen klar auf der Hand:
8;Low case numbers save lives. Fewer people will die or suffer from long-term effects of COVID-19.;Niedrige Fallzahlen retten Leben. Weniger Menschen sterben oder leiden an Covid-19 mit all seinen möglichen Spätfolgen.
9;Low case numbers reduce the burden on our healthcare system. Already sparse medical resources will not be diverted from other patients in need. Also, the hospitals can plan better again, and healthcare workers will hopefully have less overtime and weaker strain on mental health.;Niedrige Fallzahlen entlasten unser Gesundheitssystem, und die ohnehin begrenzten medizinischen Ressourcen stehen wieder anderen Patienten zur Verfügung, deren Versorgung derzeit zurückstehen muss. Auch die Krankenhäuser können wieder besser wirtschaften, und die Mitarbeitenden haben dann hoffentlich weniger Überstunden und eine geringere psychische Belastung.
10;Low case numbers save jobs and businesses. The economy can and will recover quickly once the virus is greatly reduced or eliminated - this can be seen in the examples of China, Australia, Finland, Norway, Uruguay, South Korea, Japan, Taiwan and New Zealand. In contrast, the economic costs of lockdowns increase over-proportionally with their duration as has been shown by calculations of the ifo-institute. A short, strict lockdown of two or three weeks is manageable, longer semi-lockdowns are not.;Niedrige Fallzahlen retten Arbeitsplätze und Unternehmen. Volkswirtschaften können und werden sich schnell erholen, sobald das Virus stark reduziert oder beseitigt ist – das zeigen Beispiele wie China, Australien, Finnland, Norwegen, Uruguay, Südkorea, Japan, Taiwan und Neuseeland. Im Gegensatz dazu steigen die wirtschaftlichen Kosten von Lockdowns überproportional mit ihrer Dauer, wie Berechnungen des ifo-Instituts zeigen. Ein kurzer, harter, konzertierter Lockdown über zwei bis drei Wochen lässt sich verkraften, wochenlange Teil-Lockdowns dagegen nicht.
