Name;Affiliation
Viola Priesemann;Max Planck Institute for Dynamics and Self-Organization, Göttingen, Germany
Melanie Brinkmann;Technische Universität Braunschweig, Helmholtz Zentrum für Infektionsforschung, Braunschweig, Germany
Sarah Cuschieri;Faculty of Medicine & Surgery, University of Malta, Msida, Malta
Thomas Czypionka;Institute for Advanced Studies, Vienna, Austria, and London School of Economics, London, UK
Sebastian Funk;London School of Hygiene & Tropical Medicine, London, United Kingdom
Giulia Giordano;University of Trento, Trento, Italy
Deepti Gurdasani;Queen Mary University of London, London, UK
Claudia Hanson;Karolinska Institutet, Stockholm, Sweden, and London School of Hygiene & Tropical Medicine, London, United Kingdom
Niel Hens;Hasselt University, Hasselt & University of Antwerp, Antwerp, Belgium
Emil Iftekhar;Max Planck Institute for Dynamics and Self-Organization, Göttingen, Germany, and University Medical Center Utrecht, Utrecht, The Netherlands
Michelle Kelly-Irving;Inserm-University Toulouse III Paul Sabatier, France
Peter Klimek;Medical University of Vienna and Complexity Science Hub Vienna, Vienna, Austria
Mirjam Kretzschmar;University Medical Center Utrecht, Utrecht, The Netherlands
Andreas Peichl;ifo Institute – Leibniz Institute for Economic Research at the University of Munich, Munich, Germany
Matjaž Perc;University of Maribor, Maribor, Slovenia
Francesco Sannino;Federico II Univ. of Napoli, Italy, and Centre of Excellence for Particle Physics and Cosmology (CP3-Origins) at the University of Southern Denmark, and Danish Institute for Advanced Study, Denmark
Eva Schernhammer;Department of Epidemiology, Center for Public Health, Medical University of Vienna, Vienna, Austria
Alexander Schmidt;Campus Institute for Dynamics of Biological Networks, Max Planck Institute of Experimental Medicine and Max Planck Institute for Dynamics and Self-Organization, Göttingen, Germany
Anthony Staines;School of Nursing, Psychotherapy and Community Health, Dublin City University. Dublin, Ireland
Ewa Szczurek;Faculty of Mathematics, Informatics and Mechanics, University of Warsaw, Warsaw, Poland
