Field,English,German,Italian,Slovenian,Polish
0,Calling for Pan-European commitment for rapid and sustained reduction in SARS-CoV-2 infections,Aufruf: Paneurop�isches Engagement f�r eine schnelle und nachhaltige Reduzierung der SARS-CoV-2-Infektionen,Appello per un impegno pan-europeo per una riduzione rapida e duratura delle infezioni da SARS-CoV-2,Poziv k vseevropski zavezanosti za hitro in trajno zmanjšanje SARS-CoV-2 okužb,Wzywamy do podj?cia og�lnoeuropejskiego zobowi?zania na rzecz szybkiego i trwa?ego zmniejszenia liczby zaka?e? SARS-CoV-2
1,"Across Europe, the SARS-CoV-2 pandemic is causing excess deaths, placing a burden on societies and health systems, and harming the economy. Yet, European governments still have to develop a common vision to guide the management of the pandemic. Overwhelming evidence shows that not only public health, but also society and the economy benefit greatly from low COVID-19 case numbers. Vaccines will help control the virus, but not until late 2021. If we do not act now, further waves of infection are to be expected, with consequential further damage to health, society, jobs and businesses. Given open borders within Europe, a single country alone cannot keep the number of COVID-19 cases low; thus joint action and common goals among countries are essential. We, therefore, call for a strong, coordinated European response and clearly defined medium- and long-term goals.","In ganz Europa verursacht die SARS-CoV-2-Pandemie �bersterblichkeit, belastet die Gesellschaft und die Gesundheitssysteme und schadet der Wirtschaft. Bislang haben europ�ische Regierungen noch keine gemeinsame Vision geschaffen, um den Umgang mit der Pandemie zu leiten. Die Beweislage zeigt, dass nicht nur die �ffentliche Gesundheit, sondern auch die Gesellschaft und die Wirtschaft stark von niedrigen COVID-19-Fallzahlen profitieren. Impfstoffe werden helfen, das Virus unter Kontrolle zu bringen, aber nicht vor Ende 2021. Wenn wir jetzt nicht handeln, sind weitere Infektionswellen zu erwarten, mit den daraus resultierenden weiteren Sch�den f�r Gesundheit, Gesellschaft, Arbeitspl�tze und Unternehmen. Angesichts offener Grenzen innerhalb Europas kann ein einzelnes Land allein die Zahl der COVID-19-F�lle nicht niedrig halten; daher sind gemeinsames Handeln und gemeinsame Ziele der L�nder unerl�sslich. Wir fordern daher eine starke, koordinierte europ�ische Antwort und klar definierte mittel- und langfristige Ziele.","In tutta Europa, la pandemia di SARS-CoV-2 sta causando un numero eccessivo di morti, gravando sulle societ� e sui sistemi sanitari, e danneggiando l�economia. Tuttavia, i governi europei devono ancora sviluppare una visione comune per guidare la gestione della pandemia. Evidenze schiaccianti dimostrano che non solo la salute pubblica, ma anche la societ� e l�economia traggono vantaggio da un basso numero di casi di COVID-19. I vaccini aiuteranno a tenere il virus sotto controllo, ma non prima del tardo 2021. Se non agiamo ora, dobbiamo attenderci ulteriori ondate di infezione, che causeranno ulteriori danni alla salute, alla societ�, al lavoro e alle imprese. Poich� all�interno dell�Europa le frontiere sono aperte, un singolo Paese non pu� da solo mantenere basso il numero di casi di COVID-19; dunque, un�azione congiunta e obiettivi comuni a tutti i Paesi sono fondamentali. Noi, quindi, chiediamo una risposta forte e coordinata a livello europeo, con obiettivi chiaramente definiti a medio e a lungo termine.","Pandemija SARS-CoV-2 po vsej Evropi povzroča številne smrtne žrtve, obremenjuje družbo in zdravstveni sistem, ter škoduje gospodarstvu. Kljub temu evropske vlade še vedno niso razvile skupno vizijo, ki bi vodila upravljanje pandemije. Mnogi dokazi kažejo, da nizko število primerov COVID-19 ne koristi le javnemu zdravju, temveč tudi družbi in gospodarstvu. Cepiva bodo pomagala nadzorovati virus, vendar šele konec leta 2021. Če ne bomo ukrepali zdaj, je pričakovati nove valove okužbe, kar bo posledično povzročilo nadaljnjo škodo zdravju, družbi, delovnim mestom in podjetjem. Glede na odprte meje v Evropi nobena država sama ne more obdržati nizkega števila primerov COVID-19; zato so skupni ukrepi in skupni cilji med državami ključnega pomena. Zato pozivamo k močnemu, usklajenemu evropskemu odzivu in jasno opredeljenim srednje- in dolgoročnim ciljem.","Pandemia SARS-CoV-2 sieje spustoszenie w ca?ej Europie � powoduje nadmiern? liczb? zgon�w, stanowi obci??enie dla spo?ecze?stwa i system�w opieki zdrowotnej oraz wyrz?dza szkody gospodarce. Jak dot?d rz?dy europejskie nie wypracowa?y jednak wsp�lnej wizji, kt�ra pozwoli?aby zarz?dza? pandemi?. Przyt?aczaj?ce dowody wskazuj?, ?e niska liczba przypadk�w COVID-19 oznacza du?e korzy?ci nie tylko dla zdrowia publicznego, ale tak?e dla spo?ecze?stwa i gospodarki. Szczepionki pomog? w zwalczeniu wirusa, ale w najlepszym wypadku dopiero pod koniec 2021 roku. Je?li nie podejmiemy dzia?a? teraz, nale?y spodziewa? si? kolejnych fal zaka?e?, kt�re w rezultacie spowoduj? dalsze szkody dla zdrowia, spo?ecze?stwa, miejsc pracy i przedsi?biorstw. Bior?c pod uwag? otwarte granice w Europie, jedno pa?stwo nie jest w stanie samodzielnie utrzyma? niskiej liczby przypadk�w COVID-19. Dlatego te? niezb?dne jest wsp�lne dzia?anie i ustalenie wsp�lnych cel�w. Wzywamy zatem do zdecydowanej, skoordynowanej reakcji Europy, kt�rej przy?wiecaj? jasno okre?lone cele ?rednio- i d?ugoterminowe.�"
2,"Achieving and maintaining low case numbers should be the common, pan-European goal because:","Das Erreichen und Aufrechterhalten niedriger Fallzahlen sollte das gemeinsame, gesamteurop�ische Ziel sein, denn:",Raggiungere e mantenere un numero basso di casi dovrebbe essere l�obiettivo comune pan-europeo perch�:,"Doseganje in vzdrževanje majhnega števila primerov bi moral biti skupni vseevropski cilj, ker:","Osi?gni?cie i utrzymanie niskiej liczby zaka?e? powinno by? wsp�lnym, og�lnoeuropejskim celem z poni?szych wzgl?d�w."
3,Low case numbers save lives,Niedrige Fallzahlen retten Leben:,Un basso numero di casi salva vite: ,Majhno število primerov rešuje življenja: ,Niska liczba zaka?e? pozwala ratowa? ?ycie: 
4,"Fewer people will die or suffer from long-term effects of COVID-19. In addition, medical resources will not be diverted from other patients in need.",Es werden weniger Menschen sterben oder an den Langzeitfolgen von COVID-19 leiden. Au�erdem werden medizinische Ressourcen anderen bed�rftigen Patienten verf�gbar bleiben.  ,"Meno persone moriranno o soffriranno degli effetti a lungo termine del COVID-19. Inoltre, risorse e strutture mediche torneranno a essere disponibili per altri pazienti che ne hanno bisogno. ��� ",Manj ljudi bo umrlo ali trpelo zaradi dolgoročnih učinkov okužbe s COVID-19. Poleg tega zdravstveni viri ne bodo preusmerjeni od drugih pacientov v stiski. ,mniej os�b umrze lub b?dzie cierpie? z powodu d?ugotrwa?ych skutk�w COVID-19. Ponadto zasoby medyczne nie b?d? przekierowywane kosztem innych pacjent�w potrzebuj?cych pomocy.
5,Low case numbers save jobs and businesses,Niedrige Fallzahlen sichern Arbeitspl�tze und Unternehmen:,Un basso numero di casi salva posti di lavoro e imprese:,"Majhno število primerov rešuje delovna mesta in podjetja: Ekonomski vpliv COVID-19 je odvisen od širjenja virusa med prebivalstvom, in gospodarstva se lahko in se bodo hitro obnovila, ko se bo vpliv virusa močno zmanjšal ali izločil (npr. Kitajska in Avstralija). Nasprotno pa se ekonomski stroški ukrepov s svojim trajanjem povečujejo",Niska liczba zaka?e? pozwala utrzyma? miejsca pracy i ratowa? przedsi?biorstwa: 
6,"The economic impact of COVID-19 is driven by viral circulation within the population, and economies can and will recover quickly once the virus is greatly reduced or eliminated (e.g. China and Australia). In contrast, the economic costs of lockdowns increase proportionally with their duration ","Die wirtschaftlichen Auswirkungen von COVID-19 werden durch die Virusverbreitung in der Bev�lkerung bestimmt. Volkswirtschaften k�nnen und werden sich schnell erholen, wenn das Virus stark reduziert oder eliminiert ist (wie z.B. in China und Australien). Im Gegensatz dazu steigen die wirtschaftlichen Kosten von Lockdowns mit deren Dauer ","I danni economici di COVID-19 sono dovuti alla diffusione del virus nella popolazione, mentre le economie saranno in grado di riprendersi rapidamente una volta che il virus sar� notevolmente ridotto o eliminato (si pensi a Cina e Australia). Invece, i costi economici del lockdown crescono con la sua durata ",Nadzor širjenja je veliko bolj učinkovit pri majhnem številu primerov: ,"wp?yw COVID-19 na gospodark? jest nap?dzany przez rozprzestrzenianie si? wirusa w populacji. Gospodarki mog? si? szybko odrodzi? i tak si? stanie, gdy wirus zostanie znacznie st?umiony lub wyeliminowany (np. Chiny i Australia). Z kolei koszty ekonomiczne ca?kowitego zamkni?cia gospodarki rosn?, im d?u?ej ono trwa "
7,Controlling the spread is much more effective at low case numbers:,Die Kontrolle der Ausbreitung ist bei niedrigen Fallzahlen viel effektiver:,Gli strumenti per controllare il contagio sono molto pi� efficaci con un basso numero di casi: ,"Odpravljanje omejitev pri visokem številu okuženih je kratkovidna strategija, ki bo pripeljala do novega vala in s tem do višjih stroškov za družbo kot celoto. Zmogljivosti preskušanja in sledenja so omejene: ",Kontrola rozprzestrzeniania si? wirusa jest znacznie skuteczniejsza przy niskiej liczbie zaka?e?: 
8,"Easing restrictions while accepting higher case numbers is a short-sighted strategy that will lead to another wave, and thus to higher costs for society as a whole. Testing and tracing capacities are limited: only with sufficiently low case numbers can the test-trace-isolate-support strategy (TTIS) quickly and efficiently help mitigating the spread ","Eine Lockerung der Beschr�nkungen unter Inkaufnahme h�herer Fallzahlen ist eine kurzsichtige Strategie, die zu einer weiteren Welle und damit zu h�heren Kosten f�r die Gesellschaft insgesamt f�hren wird. Die Test- und R�ckverfolgungskapazit�ten sind begrenzt: Nur bei ausreichend niedrigen Fallzahlen kann die Test-Trace-Isolate-Support-Strategie (TTIS) schnell und effizient helfen, die Ausbreitung einzud�mmen ","Allentare le restrizioni accettando numeri di casi pi� alti � una strategia miope che porter� ad altre ondate e quindi a costi pi� elevati per la societ� nel suo complesso. La risorse per i test e il tracciamento dei contatti sono limitate: solo con un numero di casi abbastanza basso, la strategia testare-tracciare-isolare-supportare (TTIS) pu� aiutare a mitigare la diffusione in modo rapido ed efficace ","le, če je število primerov majhno lahko strategija testiraj-sledi-izoliraj-podpri (TSIP) hitro in učinkovito pomaga ublažiti širjenje","?agodzenie obostrze? przy jednoczesnej akceptacji wy?szej liczby zaka?e? to kr�tkowzroczna strategia, kt�ra doprowadzi do kolejnej fali, a tym samym do wy?szych koszt�w dla ca?ego spo?ecze?stwa. Mo?liwo?ci testowania i ?ledzenia s? ograniczone: tylko przy wystarczaj?co niskiej liczbie zaka?e? strategia polegaj?ca na testowaniu, ?ledzeniu, izolowaniu i wspieraniu mo?e szybko i skutecznie pom�c ograniczy? rozprzestrzenianie si? wirusa "
9,"Hence, milder and more targeted physical distancing measures are sufficient, and schools and businesses can stay open.","Daher sind mildere und gezieltere physische Distanzierungsma�nahmen ausreichend, und Schulen und Betriebe k�nnen ge�ffnet bleiben. ","In un simile contesto, misure di distanziamento fisico pi� blande e pi� mirate sono sufficienti, mentre scuole e attivit� economiche possono rimanere aperte. ","Zato zadostujejo blažji in bolj usmerjeni ukrepi samo-izolacije, šole in podjetja pa lahko ostanejo odprta. ",Dlatego te? do utrzymania kontroli wystarcz? ?agodniejsze i lepiej ukierunkowane ?rodki utrzymywania dystansu fizycznego.
